word,lemma,part_of_speech,tag,absolute_frequency
AR,AR,PROPN,NNP,1
Advantage,Advantage,PROPN,NNP,1
Anchors,Anchors,PROPN,NNPS,1
Atmosphere,Atmosphere,PROPN,NNP,1
Audio,Audio,PROPN,NNP,1
Awards,Awards,PROPN,NNPS,1
Awards,Awards,PROPN,NNP,1
Breath,Breath,PROPN,NNP,1
Cues,Cues,PROPN,NNP,1
Dance,Dance,PROPN,NNP,2
Design,Design,PROPN,NNP,5
Development,Development,PROPN,NNP,1
Different,Different,PROPN,NNP,1
Emotional,Emotional,PROPN,NNP,3
Engagement,Engagement,PROPN,NNP,2
Enhanced,Enhanced,PROPN,NNP,2
Enhancing,Enhancing,PROPN,NNP,1
Equipment,Equipment,PROPN,NNP,1
Evolution,Evolution,PROPN,NNP,1
Fantasy,Fantasy,PROPN,NNP,1
Focus,Focus,PROPN,NNP,1
Future,Future,PROPN,NNP,1
Game,Game,PROPN,NNP,6
Gameplay,Gameplay,PROPN,NNP,3
Games,Games,PROPN,NNPS,2
Gaming,Gaming,PROPN,NNP,1
Guitar,Guitar,PROPN,NNP,1
Hero,Hero,PROPN,NNP,1
Immersion,Immersion,PROPN,NNP,1
Implement,Implement,PROPN,NNP,1
Industry,Industry,PROPN,NNP,1
Influence,Influence,PROPN,NNP,1
Institute,Institute,PROPN,NNP,1
Invest,Invest,PROPN,NNP,1
Legend,Legend,PROPN,NNP,1
MIT,MIT,PROPN,NNP,1
Massachusetts,Massachusetts,PROPN,NNP,1
Mechanic,Mechanic,PROPN,NNP,1
Mechanics,Mechanics,PROPN,NNPS,1
Music,Music,PROPN,NNP,6
Narrative,Narrative,PROPN,NNP,1
Orchestra,Orchestra,PROPN,NNP,1
Outstanding,Outstanding,PROPN,NNP,1
Platforms,Platforms,PROPN,NNPS,1
Player,Player,PROPN,NNP,2
Potential,Potential,PROPN,NNP,1
Power,Power,PROPN,NNP,4
Quality,Quality,PROPN,NNP,1
Reality,Reality,PROPN,NNP,1
Recognition,Recognition,PROPN,NNP,1
Remake,Remake,PROPN,NNP,1
Revolution,Revolution,PROPN,NNP,1
Rhythm,Rhythm,PROPN,NNP,1
Role,Role,PROPN,NNP,2
Sound,Sound,PROPN,NNP,9
Sounds,Sounds,PROPN,NNPS,1
Soundtrack,Soundtrack,PROPN,NNP,1
Soundtracks,Soundtracks,PROPN,NNPS,1
Stimulation,Stimulation,PROPN,NNP,1
Symphony,Symphony,PROPN,NNP,1
Technology,Technology,PROPN,NNP,2
Trends,Trends,PROPN,NNPS,1
True,True,PROPN,NNP,1
University,University,PROPN,NNP,1
VII,VII,PROPN,NNP,1
VR,VR,PROPN,NNP,3
Video,Video,PROPN,NNP,6
Wild,Wild,PROPN,NNP,1
York,York,PROPN,NNP,1
Zelda,Zelda,PROPN,NNP,1
a,a,DET,DT,65
abilities,ability,NOUN,NNS,1
ability,ability,NOUN,NN,4
about,about,ADP,IN,1
access,access,VERB,VB,1
accessibility,accessibility,NOUN,NN,1
acclaim,acclaim,NOUN,NN,1
accompany,accompany,VERB,VB,1
accompanying,accompany,VERB,VBG,1
accomplishment,accomplishment,NOUN,NN,1
according,accord,VERB,VBG,1
accordingly,accordingly,ADV,RB,1
achievement,achievement,NOUN,NN,1
achievements,achievement,NOUN,NNS,1
acting,acting,NOUN,NN,1
action,action,NOUN,NN,1
actions,action,NOUN,NNS,5
actors,actor,NOUN,NNS,1
acts,act,VERB,VBZ,1
adapt,adapt,VERB,VB,1
adapt,adapt,VERB,VBP,1
adaptive,adaptive,ADJ,JJ,3
add,add,VERB,VB,1
adding,add,VERB,VBG,3
adjustments,adjustment,NOUN,NNS,1
advanced,advanced,ADJ,JJ,1
advancements,advancement,NOUN,NNS,3
advances,advance,NOUN,NNS,1
advancing,advance,VERB,VBG,1
advent,advent,NOUN,NN,1
adventure,adventure,NOUN,NN,1
affect,affect,VERB,VB,1
after,after,SCONJ,IN,1
aid,aid,VERB,VBP,1
aids,aid,VERB,VBZ,1
alert,alert,ADJ,JJ,1
alert,alert,VERB,VB,1
alerting,alert,VERB,VBG,1
algorithms,algorithm,NOUN,NNS,2
aligning,align,VERB,VBG,1
aligns,aligns,VERB,VBP,3
all,all,DET,DT,2
all,all,PRON,DT,2
allow,allow,VERB,VB,1
allowing,allow,VERB,VBG,1
allows,allow,VERB,VBZ,2
also,also,ADV,RB,4
ambient,ambient,NOUN,NN,2
amplify,amplify,VERB,VB,1
amplifying,amplify,VERB,VBG,2
an,an,DET,DT,19
ancient,ancient,ADJ,JJ,1
and,and,CCONJ,CC,102
animations,animation,NOUN,NNS,1
annual,annual,ADJ,JJ,1
anticipate,anticipate,VERB,VB,1
any,any,DET,DT,1
appreciate,appreciate,VERB,VB,1
appropriate,appropriate,ADJ,JJ,1
are,be,AUX,VBP,15
art,art,NOUN,NN,3
as,as,SCONJ,IN,11
as,as,ADP,IN,11
aspect,aspect,NOUN,NN,1
aspects,aspect,NOUN,NNS,1
associated,associate,VERB,VBN,1
at,at,ADP,IN,3
atmosphere,atmosphere,NOUN,NN,5
attachment,attachment,NOUN,NN,1
attention,attention,NOUN,NN,2
audience,audience,NOUN,NN,1
audio,audio,NOUN,NN,5
audio,audio,ADJ,JJ,15
augmented,augment,VERB,VBD,2
awards,award,NOUN,NNS,2
awe,awe,ADV,RB,1
back,back,ADV,RB,1
background,background,NOUN,NN,2
based,base,VERB,VBN,1
battle,battle,NOUN,NN,3
be,be,AUX,VB,4
been,be,AUX,VBN,2
before,before,ADP,IN,1
behind,behind,ADP,IN,1
believability,believability,NOUN,NN,1
best,good,ADJ,JJS,1
between,between,ADP,IN,3
beyond,beyond,ADP,IN,2
billion,billion,NUM,CD,1
bond,bond,NOUN,NN,2
boss,boss,NOUN,NN,2
boundaries,boundary,NOUN,NNS,3
bring,bring,VERB,VB,2
build,build,VERB,VB,1
build,build,NOUN,NN,1
building,build,VERB,VBG,1
but,but,CCONJ,CC,2
by,by,ADP,IN,17
can,can,AUX,MD,27
captivate,captivate,VERB,VBP,1
captivating,captivating,ADJ,JJ,1
capture,capture,VERB,VBP,1
capturing,capture,VERB,VBG,1
carefully,carefully,ADV,RB,2
category,category,NOUN,NN,1
cavern,cavern,NOUN,NN,1
celebrating,celebrate,VERB,VBG,1
cementing,cement,VERB,VBG,1
certain,certain,ADJ,JJ,2
challenges,challenge,NOUN,NNS,1
character,character,NOUN,NN,2
characters,character,NOUN,NNS,3
choose,choose,VERB,VB,1
choosing,choose,VERB,VBG,1
closely,closely,ADV,RB,2
closer,close,ADJ,JJR,1
clues,clue,NOUN,NNS,1
cognitive,cognitive,ADJ,JJ,2
cohesive,cohesive,ADJ,JJ,2
coins,coin,NOUN,NNS,1
collaborate,collaborate,VERB,VB,2
collaborations,collaboration,NOUN,NNS,1
comes,come,VERB,VBZ,1
coming,come,VERB,VBG,1
complements,complement,VERB,VBZ,1
complexity,complexity,NOUN,NN,1
component,component,NOUN,NN,1
compose,compose,VERB,VBP,1
composed,compose,VERB,VBN,1
composers,composer,NOUN,NNS,4
concentration,concentration,NOUN,NN,1
conclusion,conclusion,NOUN,NN,1
conduct,conduct,VERB,VB,1
conducted,conduct,VERB,VBN,3
connect,connect,VERB,VB,1
connection,connection,NOUN,NN,6
consider,consider,VERB,VB,2
consistent,consistent,ADJ,JJ,1
continue,continue,VERB,VB,2
continue,continue,VERB,VBP,1
continues,continue,VERB,VBZ,2
continuously,continuously,ADV,RB,1
contrast,contrast,NOUN,NN,1
contribute,contribute,VERB,VBP,1
contributes,contribute,VERB,VBZ,3
contributions,contribution,NOUN,NNS,1
create,create,NOUN,NN,1
create,create,VERB,VB,13
create,create,VERB,VBP,2
created,create,VERB,VBN,2
creates,create,VERB,VBZ,3
creating,create,VERB,VBG,10
creation,creation,NOUN,NN,1
creative,creative,ADJ,JJ,1
creativity,creativity,NOUN,NN,1
critical,critical,ADJ,JJ,2
crucial,crucial,ADJ,JJ,6
cues,cue,NOUN,NNS,7
cutscene,cutscene,NOUN,NN,1
cutting,cutting,NOUN,NN,1
danger,danger,NOUN,NN,1
dangers,danger,NOUN,NNS,1
decisions,decision,NOUN,NNS,1
dedicated,dedicated,ADJ,JJ,1
dedicated,dedicate,VERB,VBN,1
deep,deep,ADJ,JJ,1
deepen,deepen,VERB,VB,2
deepening,deepen,VERB,VBG,1
deeper,deeply,ADV,RBR,1
deeper,deep,ADJ,JJR,1
depth,depth,NOUN,NN,1
design,design,NOUN,NN,33
designed,design,VERB,VBN,1
designers,designer,NOUN,NNS,9
designing,design,VERB,VBG,1
detailed,detailed,ADJ,JJ,1
developer,developer,NOUN,NN,1
developers,developer,NOUN,NNS,16
development,development,NOUN,NN,5
devices,device,NOUN,NNS,1
different,different,ADJ,JJ,5
dimensions,dimension,NOUN,NNS,1
distinct,distinct,ADJ,JJ,1
distinctive,distinctive,ADJ,JJ,1
dive,dive,VERB,VB,1
diversity,diversity,NOUN,NN,1
drives,drive,VERB,VBZ,1
during,during,ADP,IN,4
dynamic,dynamic,ADJ,JJ,3
easy,easy,ADJ,JJ,1
echoes,echo,NOUN,NNS,1
edge,edge,NOUN,NN,1
edit,edit,VERB,VB,1
editing,editing,NOUN,NN,2
effective,effective,ADJ,JJ,2
effectively,effectively,ADV,RB,1
effects,effect,NOUN,NNS,5
elements,element,NOUN,NNS,8
elevate,elevate,VERB,VB,2
elevate,elevate,VERB,VBP,1
embark,embark,VERB,VBP,1
embracing,embrace,VERB,VBG,1
emotion,emotion,NOUN,NN,1
emotional,emotional,ADJ,JJ,11
emotionally,emotionally,ADV,RB,1
emotions,emotion,NOUN,NNS,14
enabling,enable,VERB,VBG,2
encourages,encourage,VERB,VBZ,1
enemies,enemy,NOUN,NNS,1
energetic,energetic,ADJ,JJ,1
engage,engage,VERB,VB,1
engaged,engage,VERB,VBN,1
engagement,engagement,NOUN,NN,8
engaging,engaging,ADJ,JJ,5
enhance,enhance,VERB,VB,5
enhance,enhance,VERB,VBP,4
enhances,enhance,VERB,VBZ,6
enhancing,enhance,VERB,VBG,10
enjoy,enjoy,VERB,VB,2
enjoyment,enjoyment,NOUN,NN,2
ensure,ensure,VERB,VB,5
ensuring,ensure,VERB,VBG,1
environment,environment,NOUN,NN,3
epic,epic,ADJ,JJ,3
equipment,equipment,NOUN,NN,1
essence,essence,NOUN,NN,1
essential,essential,ADJ,JJ,2
even,even,ADV,RB,4
event,event,NOUN,NN,1
events,event,NOUN,NNS,3
every,every,DET,DT,1
everyone,everyone,PRON,NN,1
evoke,evoke,VERB,VB,4
evoked,evoke,VERB,VBN,1
evoking,evoke,VERB,VBG,2
evolve,evolve,VERB,VB,2
evolved,evolve,VERB,VBN,1
evolving,evolve,VERB,VBG,1
example,example,NOUN,NN,2
excitement,excitement,NOUN,NN,1
exhilarated,exhilarate,VERB,VBN,1
expanded,expand,VERB,VBN,1
expect,expect,VERB,VB,1
experience,experience,NOUN,NN,21
experienced,experienced,ADJ,JJ,1
experiences,experience,NOUN,NNS,12
experiment,experiment,NOUN,NN,1
experts,expert,NOUN,NNS,1
explore,explore,VERB,VB,1
exploring,explore,VERB,VBG,1
extra,extra,ADJ,JJ,1
fact,fact,NOUN,NN,1
factor,factor,NOUN,NN,1
falling,fall,VERB,VBG,1
fans,fan,NOUN,NNS,1
favorite,favorite,ADJ,JJ,1
fear,fear,NOUN,NN,1
feedback,feedback,NOUN,NN,2
feel,feel,VERB,VB,4
feet,foot,NOUN,NNS,1
fidelity,fidelity,NOUN,NN,1
field,field,NOUN,NN,1
fight,fight,NOUN,NN,1
final,final,ADJ,JJ,1
finish,finish,VERB,VBP,1
focus,focus,VERB,VB,1
focus,focus,NOUN,NN,1
focusing,focus,VERB,VBG,1
footsteps,footstep,NOUN,NNS,2
for,for,ADP,IN,30
for,for,SCONJ,IN,30
forest,forest,NOUN,NN,1
form,form,NOUN,NN,2
forward,forward,ADV,RB,1
found,find,VERB,VBD,2
from,from,ADP,IN,5
frontiers,frontier,NOUN,NNS,1
fulfilling,fulfil,VERB,VBG,1
fully,fully,ADV,RB,3
functions,function,NOUN,NNS,1
further,far,ADV,RB,2
future,future,NOUN,NN,1
gaining,gain,VERB,VBG,1
game,game,NOUN,NN,53
gameplay,gameplay,NOUN,NN,18
games,game,NOUN,NNS,14
gamesoundcon,GameSoundCon,NOUN,NNS,1
gaming,gaming,NOUN,NN,24
gather,gather,VERB,VB,1
gathering,gather,VERB,VBG,1
generate,generate,VERB,VBP,1
generation,generation,NOUN,NN,1
get,get,VERB,VB,1
goes,go,VERB,VBZ,3
gone,go,VERB,VBN,1
graphics,graphic,NOUN,NNS,1
greatly,greatly,ADV,RB,1
guide,guide,NOUN,NN,2
guide,guide,VERB,VB,2
guiding,guide,VERB,VBG,1
harnessing,harness,VERB,VBG,3
has,have,VERB,VBZ,13
has,have,AUX,VBZ,13
haunting,haunting,ADJ,JJ,2
have,have,AUX,VBP,9
have,have,VERB,VBP,9
hearing,hearing,NOUN,NN,1
hearing,hear,VERB,VBG,1
heartbreaking,heartbreaking,ADJ,JJ,1
heavily,heavily,ADV,RB,1
heightened,heighten,VERB,VBN,1
heightening,heighten,VERB,VBG,2
heights,height,NOUN,NNS,2
help,help,VERB,VB,1
helping,help,VERB,VBG,1
helps,help,VERB,VBZ,2
here,here,ADV,RB,5
hidden,hide,VERB,VBN,1
high,high,ADJ,JJ,3
highlight,highlight,VERB,VBP,2
hints,hint,NOUN,NNS,1
holds,hold,VERB,VBZ,1
honors,honor,VERB,VBZ,1
horror,horror,NOUN,NN,2
how,how,SCONJ,WRB,2
however,however,ADV,RB,1
identify,identify,VERB,VB,1
immerse,immerse,ADJ,JJ,1
immersed,immerse,VERB,VBN,1
immerses,immerse,VERB,VBZ,1
immersing,immerse,VERB,VBG,1
immersion,immersion,NOUN,NN,5
immersion,immersion,ADJ,JJ,3
immersive,immersive,ADJ,JJ,14
impact,impact,NOUN,NN,5
impactful,impactful,ADJ,JJ,3
impairments,impairment,NOUN,NNS,1
implement,implement,VERB,VB,1
implementation,implementation,NOUN,NN,1
implementing,implement,VERB,VBG,1
importance,importance,NOUN,NN,4
important,important,ADJ,JJ,2
improve,improve,VERB,VB,2
improving,improve,VERB,VBG,1
in,in,ADP,IN,63
include,include,VERB,VBP,1
includes,include,VERB,VBZ,1
incorporating,incorporate,VERB,VBG,2
increase,increase,VERB,VB,2
increased,increase,VERB,VBN,1
increasing,increase,VERB,VBG,3
incredible,incredible,ADJ,JJ,1
incredibly,incredibly,ADV,RB,1
indicating,indicate,VERB,VBG,1
industry,industry,NOUN,NN,7
influence,influence,NOUN,NN,1
influential,influential,ADJ,JJ,1
information,information,NOUN,NN,3
innovations,innovation,NOUN,NNS,1
innovative,innovative,ADJ,JJ,1
inspiring,inspiring,ADJ,JJ,1
integral,integral,ADJ,JJ,1
integrate,integrate,VERB,VB,1
integrates,integrate,VERB,VBZ,1
integrating,integrate,VERB,VBG,1
integration,integration,NOUN,NN,3
intense,intense,ADJ,JJ,1
intensify,intensify,VERB,VB,1
intensifying,intensify,VERB,VBG,1
interactive,interactive,ADJ,JJ,2
into,into,ADP,IN,4
intricacies,intricacy,NOUN,NNS,1
intricate,intricate,ADJ,JJ,1
invest,invest,VERB,VB,1
invest,invest,VERB,VBP,1
invisible,invisible,ADJ,JJ,1
is,be,AUX,VBZ,10
it,it,PRON,PRP,20
its,its,PRON,PRP$,5
itself,itself,PRON,PRP,1
journey,journey,NOUN,NN,3
joy,joy,NOUN,NN,1
just,just,ADV,RB,1
keep,keep,VERB,VB,1
keeping,keep,VERB,VBG,1
key,key,ADJ,JJ,11
landscape,landscape,NOUN,NN,1
layer,layer,NOUN,NN,2
leading,lead,VERB,VBG,1
leaves,leave,NOUN,NNS,1
leitmotifs,leitmotif,NOUN,NNS,1
let,let,VERB,VB,4
level,level,NOUN,NN,2
levels,level,NOUN,NNS,2
life,life,NOUN,NN,1
lifelike,lifelike,ADJ,JJ,1
like,like,ADP,IN,2
like,like,SCONJ,IN,2
locate,locate,VERB,VB,1
long,long,ADV,RB,1
longer,long,ADJ,JJR,1
look,look,NOUN,NN,1
looking,look,VERB,VBG,1
low,low,ADJ,JJ,1
magic,magic,NOUN,NN,1
main,main,ADJ,JJ,1
make,make,VERB,VB,6
making,make,VERB,VBG,2
market,market,NOUN,NN,1
marketsandmarkets,marketsandmarket,NOUN,NNS,1
may,may,AUX,MD,1
mechanic,mechanic,NOUN,NN,1
mechanics,mechanic,NOUN,NNS,2
melodic,melodic,ADJ,JJ,1
melodies,melody,NOUN,NNS,4
melody,melody,NOUN,NN,2
memorable,memorable,ADJ,JJ,3
meticulous,meticulous,ADJ,JJ,1
moderate,moderate,ADJ,JJ,1
modern,modern,ADJ,JJ,1
moment,moment,NOUN,NN,4
moments,moment,NOUN,NNS,5
mood,mood,NOUN,NN,4
more,more,ADV,RBR,7
more,more,ADJ,JJR,5
moreover,moreover,ADV,RB,1
most,most,ADJ,JJS,1
motion,motion,NOUN,NN,1
music,music,NOUN,NN,40
musical,musical,ADJ,JJ,1
musicians,musician,NOUN,NNS,1
narrative,narrative,NOUN,NN,7
nature,nature,NOUN,NN,1
nearby,nearby,ADJ,JJ,1
new,new,ADJ,JJ,7
next,next,ADJ,JJ,2
normal,normal,ADJ,JJ,1
nostalgia,nostalgia,NOUN,NN,1
nostalgic,nostalgic,ADJ,JJ,1
not,not,PART,RB,3
now,now,INTJ,UH,1
nuances,nuance,NOUN,NNS,1
numerous,numerous,ADJ,JJ,1
objects,object,NOUN,NNS,1
of,of,ADP,IN,72
off,off,ADP,IN,1
often,often,ADV,RB,3
on,on,ADP,IN,11
one,one,NUM,CD,2
ones,one,NOUN,NNS,1
only,only,ADV,RB,3
opportunity,opportunity,NOUN,NN,1
opt,opt,VERB,VB,1
optimize,optimize,VERB,VB,1
or,or,CCONJ,CC,16
orchestral,orchestral,ADJ,JJ,1
orchestrate,orchestrate,VERB,VB,1
original,original,ADJ,JJ,1
our,our,PRON,PRP$,2
outstanding,outstanding,ADJ,JJ,1
over,over,ADP,IN,1
overall,overall,ADJ,JJ,9
own,own,ADJ,JJ,1
packed,pack,VERB,VBN,1
paired,pair,VERB,VBN,1
part,part,NOUN,NN,3
partner,partner,NOUN,NN,1
pause,pause,VERB,VB,1
peaks,peak,NOUN,NNS,1
performance,performance,NOUN,NN,2
periods,period,NOUN,NNS,1
piece,piece,NOUN,NN,1
pivotal,pivotal,ADJ,JJ,1
platforms,platform,NOUN,NNS,2
play,play,VERB,VB,2
play,play,VERB,VBP,1
player,player,NOUN,NN,22
players,player,NOUN,NNS,31
playing,play,VERB,VBG,1
plays,play,VERB,VBZ,5
playtesting,playtesting,NOUN,NN,1
pleasing,pleasing,ADJ,JJ,1
plot,plot,NOUN,NN,2
points,point,NOUN,NNS,2
popular,popular,ADJ,JJ,1
possibilities,possibility,NOUN,NNS,3
potential,potential,NOUN,NN,1
power,power,NOUN,NN,7
powerful,powerful,ADJ,JJ,3
practical,practical,ADJ,JJ,1
presence,presence,NOUN,NN,1
present,present,VERB,VBP,1
procedural,procedural,ADJ,JJ,1
processing,processing,NOUN,NN,1
produce,produce,VERB,VB,1
professional,professional,ADJ,JJ,1
provide,provide,VERB,VB,1
provide,provide,VERB,VBP,3
provides,provide,NOUN,NNS,1
provides,provide,VERB,VBZ,1
providing,provide,VERB,VBG,2
purpose,purpose,NOUN,NN,1
push,push,VERB,VB,2
puzzle,puzzle,NOUN,NN,1
quality,quality,NOUN,NN,3
raindrops,raindrop,NOUN,NNS,1
reach,reach,VERB,VB,1
reached,reach,VERB,VBN,1
reactive,reactive,ADJ,JJ,1
real,real,ADJ,JJ,1
realistic,realistic,ADJ,JJ,4
reality,reality,NOUN,NN,6
reasons,reason,NOUN,NNS,1
receive,receive,VERB,VBP,1
received,receive,VERB,VBN,1
recent,recent,ADJ,JJ,2
recognition,recognition,NOUN,NN,2
recognizable,recognizable,ADJ,JJ,1
recognize,recognize,VERB,VB,1
recognized,recognize,VERB,VBN,3
recognizing,recognize,VERB,VBG,1
recording,recording,NOUN,NN,2
recurring,recur,VERB,VBG,1
refers,refer,VERB,VBZ,1
refine,refine,VERB,VB,1
regularly,regularly,ADV,RB,1
reinforce,reinforce,VERB,VBP,1
reinforce,reinforce,VERB,VB,1
reinforcing,reinforce,VERB,VBG,1
rely,rely,VERB,VBP,1
rely,rely,VERB,VB,1
remember,remember,VERB,VBP,1
remember,remember,VERB,VB,1
renowned,renowned,ADJ,JJ,1
report,report,NOUN,NN,1
research,research,NOUN,NN,1
researchers,researcher,NOUN,NNS,1
respond,respond,VERB,VBP,3
responding,respond,VERB,VBG,1
responses,response,NOUN,NNS,1
responsibilities,responsibility,NOUN,NNS,1
responsible,responsible,ADJ,JJ,1
result,result,NOUN,NN,1
revolutionizing,revolutionize,VERB,VBG,1
rewards,reward,NOUN,NNS,2
right,right,ADJ,JJ,5
role,role,NOUN,NN,10
rustling,rustle,VERB,VBG,1
sadness,sadness,NOUN,NN,1
satisfaction,satisfaction,NOUN,NN,1
scenarios,scenario,NOUN,NNS,1
scenes,scene,NOUN,NNS,1
score,score,NOUN,NN,2
seamless,seamless,ADJ,JJ,1
seamlessly,seamlessly,ADV,RB,2
secrets,secret,NOUN,NNS,1
see,see,VERB,VB,1
sense,sense,NOUN,NN,5
senses,sense,NOUN,NNS,2
sequences,sequence,NOUN,NNS,2
serene,serene,ADJ,JJ,1
serve,serve,VERB,VB,1
serves,serve,VERB,VBZ,1
sessions,session,NOUN,NNS,1
set,set,VERB,VBD,2
set,set,VERB,VB,1
set,set,VERB,VBN,2
sets,set,VERB,VBZ,1
setting,set,VERB,VBG,5
shape,shape,NOUN,NN,1
should,should,AUX,MD,1
shown,show,VERB,VBN,3
signaling,signal,VERB,VBG,1
significance,significance,NOUN,NN,3
significantly,significantly,ADV,RB,3
similar,similar,ADJ,JJ,1
since,since,SCONJ,IN,1
so,so,ADV,RB,2
solely,solely,ADV,RB,1
solving,solving,NOUN,NN,1
some,some,DET,DT,5
sonic,sonic,ADJ,JJ,1
sound,sound,NOUN,NN,25
sound,sound,ADJ,JJ,32
sounds,sound,NOUN,NNS,3
sounds,sound,VERB,VBZ,4
soundscape,soundscape,NOUN,NN,4
soundscapes,soundscape,NOUN,NNS,1
soundtrack,soundtrack,NOUN,NN,5
soundtracks,soundtrack,NOUN,NNS,18
sources,source,NOUN,NNS,1
specific,specific,ADJ,JJ,3
specifically,specifically,ADV,RB,1
spotlight,spotlight,NOUN,NN,1
stated,state,VERB,VBD,1
statistics,statistic,NOUN,NNS,2
stay,stay,VERB,VBP,1
steal,steal,VERB,VBP,1
stimulation,stimulation,NOUN,NN,2
stir,stir,VERB,VB,1
story,story,NOUN,NN,2
storytelling,storytelling,NOUN,NN,4
storytelling,storytelle,VERB,VBG,1
strategically,strategically,ADV,RB,1
streaming,stream,VERB,VBG,1
strive,strive,VERB,VB,1
studies,study,NOUN,NNS,3
study,study,NOUN,NN,2
stunning,stunning,ADJ,JJ,2
subtitles,subtitle,NOUN,NNS,1
such,such,ADJ,JJ,2
survey,survey,NOUN,NN,1
suspense,suspense,NOUN,NN,1
suspenseful,suspenseful,ADJ,JJ,2
sweep,sweep,VERB,VBP,1
sweeping,sweeping,ADJ,JJ,1
symphony,symphony,NOUN,NN,2
synchronization,synchronization,NOUN,NN,1
systems,system,NOUN,NNS,3
tailored,tailor,VERB,VBN,1
take,take,VERB,VB,3
takeaways,takeaway,NOUN,NNS,6
talented,talented,ADJ,JJ,1
tasks,task,NOUN,NNS,1
team,team,NOUN,NN,1
technologies,technology,NOUN,NNS,2
technology,technology,NOUN,NN,5
tells,tell,VERB,VBZ,1
tempo,tempo,NOUN,NN,1
tense,tense,ADJ,JJ,1
terrains,terrain,NOUN,NNS,1
test,test,NOUN,NN,1
that,that,PRON,WDT,22
that,that,DET,DT,2
that,that,SCONJ,IN,7
the,the,DET,DT,164
their,their,PRON,PRP$,8
them,they,PRON,PRP,5
themes,theme,NOUN,NNS,1
themselves,themselves,PRON,PRP,1
these,these,DET,DT,3
they,they,PRON,PRP,4
this,this,DET,DT,1
those,those,DET,DT,2
those,those,PRON,DT,2
through,through,ADP,IN,8
throughout,throughout,ADP,IN,1
time,time,NOUN,NN,4
timed,time,VERB,VBN,1
times,time,NOUN,NNS,1
tips,tip,NOUN,NNS,2
to,to,ADP,IN,33
to,to,PART,TO,46
together,together,ADV,RB,1
tone,tone,NOUN,NN,3
tool,tool,NOUN,NN,2
transcend,transcend,VERB,VBP,1
transport,transport,VERB,VB,2
trends,trend,NOUN,NNS,1
trigger,trigger,VERB,VB,1
triumphant,triumphant,ADJ,JJ,1
true,true,ADJ,JJ,1
truly,truly,ADV,RB,2
tunes,tune,NOUN,NNS,1
uncover,uncover,VERB,VB,1
underestimated,underestimate,VERB,VBN,2
understand,understand,VERB,VBP,3
undoubtedly,undoubtedly,ADV,RB,1
unforgettable,unforgettable,ADJ,JJ,4
unique,unique,ADJ,JJ,2
universe,universe,NOUN,NN,1
unleashing,unleash,VERB,VBG,1
unlock,unlock,VERB,VB,1
unnoticed,unnoticed,ADJ,JJ,2
unparalleled,unparalleled,ADJ,JJ,1
unprecedented,unprecedented,ADJ,JJ,1
up,up,NOUN,NN,1
upbeat,upbeat,ADJ,JJ,1
us,we,PRON,PRP,2
used,use,VERB,VBN,1
usually,usually,ADV,RB,1
utilized,utilize,VERB,VBN,1
valuable,valuable,ADJ,JJ,1
various,various,ADJ,JJ,3
vast,vast,ADJ,JJ,2
very,very,ADV,RB,1
video,video,NOUN,NN,22
virtual,virtual,ADJ,JJ,10
vision,vision,NOUN,NN,1
visual,visual,ADJ,JJ,4
visuals,visual,NOUN,NNS,3
vital,vital,ADJ,JJ,2
voice,voice,NOUN,NN,2
want,want,VERB,VBP,1
way,way,NOUN,NN,1
ways,way,NOUN,NNS,1
we,we,PRON,PRP,5
weapon,weapon,NOUN,NN,1
well,well,ADV,RB,2
when,when,SCONJ,WRB,2
where,where,SCONJ,WRB,1
whether,whether,SCONJ,IN,5
which,which,PRON,WDT,1
while,while,SCONJ,IN,1
who,who,PRON,WP,2
why,why,SCONJ,WRB,3
will,will,AUX,MD,9
with,with,ADP,IN,31
with,with,SCONJ,IN,31
won,win,VERB,VBD,1
work,work,VERB,VBP,2
work,work,NOUN,NN,1
work,work,VERB,VB,1
world,world,NOUN,NN,9
worlds,world,NOUN,NNS,2
worldwide,worldwide,ADV,RB,1
years,year,NOUN,NNS,3
you,you,PRON,PRP,6
your,your,PRON,PRP$,5
